2024-09-24 14:40:40,989 Created a socket
2024-09-24 14:40:41,990 Sent fuzzing message: ID=0, Data=0000000000000000
2024-09-24 14:40:42,991 Sent fuzzing message: ID=0, Data=0000000000000001
2024-09-24 14:40:43,991 Sent fuzzing message: ID=0, Data=0000000000000002
2024-09-24 14:40:44,992 Sent fuzzing message: ID=0, Data=0000000000000003
2024-09-24 14:40:45,993 Sent fuzzing message: ID=0, Data=0000000000000004
2024-09-24 14:40:46,994 Sent fuzzing message: ID=0, Data=0000000000000005
2024-09-24 14:40:47,994 Sent fuzzing message: ID=0, Data=0000000000000006
2024-09-24 14:40:48,995 Sent fuzzing message: ID=0, Data=0000000000000007
2024-09-24 14:40:49,996 Sent fuzzing message: ID=0, Data=0000000000000008
2024-09-24 14:40:50,996 Sent fuzzing message: ID=0, Data=0000000000000009
2024-09-24 14:40:51,997 Sent fuzzing message: ID=0, Data=000000000000000a
2024-09-24 14:40:52,997 Sent fuzzing message: ID=0, Data=000000000000000b
2024-09-24 14:40:53,998 Sent fuzzing message: ID=0, Data=000000000000000c
2024-09-24 14:40:54,999 Sent fuzzing message: ID=0, Data=000000000000000d
2024-09-24 14:40:55,999 Sent fuzzing message: ID=0, Data=000000000000000e
2024-09-24 14:40:57,000 Sent fuzzing message: ID=0, Data=000000000000000f
2024-09-24 14:40:58,001 Sent fuzzing message: ID=0, Data=0000000000000010
2024-09-24 14:40:59,001 Sent fuzzing message: ID=0, Data=0000000000000011
2024-09-24 14:41:00,002 Sent fuzzing message: ID=0, Data=0000000000000012
2024-09-24 14:41:01,002 Sent fuzzing message: ID=0, Data=0000000000000013
2024-09-24 14:41:02,003 Sent fuzzing message: ID=0, Data=0000000000000014
2024-09-24 14:41:03,004 Sent fuzzing message: ID=0, Data=0000000000000015
2024-09-24 14:41:04,004 Sent fuzzing message: ID=0, Data=0000000000000016
2024-09-24 14:41:05,005 Sent fuzzing message: ID=0, Data=0000000000000017
2024-09-24 14:41:06,005 Sent fuzzing message: ID=0, Data=0000000000000018
2024-09-24 14:41:07,006 Sent fuzzing message: ID=0, Data=0000000000000019
2024-09-24 14:41:08,007 Sent fuzzing message: ID=0, Data=000000000000001a
2024-09-24 14:41:09,007 Sent fuzzing message: ID=0, Data=000000000000001b
2024-09-24 14:41:10,008 Sent fuzzing message: ID=0, Data=000000000000001c
2024-09-24 14:41:11,009 Sent fuzzing message: ID=0, Data=000000000000001d
2024-09-24 14:41:12,009 Sent fuzzing message: ID=0, Data=000000000000001e
2024-09-24 14:41:13,010 Sent fuzzing message: ID=0, Data=000000000000001f
