2024-09-10 15:43:16,303 Created a socket
2024-09-10 15:43:16,304 Sent fuzzing message: ID=842, Data=5de6e773a722b735
2024-09-10 15:43:18,028 Sent fuzzing message: ID=586, Data=1e88ed240307a285
2024-09-10 15:43:19,874 Sent fuzzing message: ID=102, Data=8894e6651921edb8
2024-09-10 15:43:21,851 Sent fuzzing message: ID=765, Data=e9038a1a6ea3f497
2024-09-10 15:43:22,980 Sent fuzzing message: ID=1014, Data=0d9bbc18c80f03f2
2024-09-10 15:43:24,943 Sent fuzzing message: ID=939, Data=a52787c523877266
2024-09-10 15:43:26,644 Sent fuzzing message: ID=984, Data=7349332a4776cdf0
2024-09-10 15:43:28,244 Sent fuzzing message: ID=1599, Data=ca8a21d1f6523d79
2024-09-10 15:43:29,389 Sent fuzzing message: ID=301, Data=90eca029966865e5
2024-09-10 15:43:31,008 Sent fuzzing message: ID=485, Data=428e36a66e532e08
2024-09-10 15:43:32,398 Sent fuzzing message: ID=1083, Data=066f47c097245188
2024-09-10 15:43:33,904 Sent fuzzing message: ID=963, Data=c1971150e888a157
2024-09-10 15:43:35,635 Sent fuzzing message: ID=1683, Data=65ac2708ad60410d
2024-09-10 15:43:36,724 Sent fuzzing message: ID=1790, Data=de71e08add21905c
2024-09-10 15:43:37,848 Sent fuzzing message: ID=1385, Data=dd9a1d17733b11c7
2024-09-10 15:43:39,833 Sent fuzzing message: ID=1081, Data=5effa1757bd2b01e
2024-09-10 15:43:41,611 Sent fuzzing message: ID=1915, Data=1154cec9a4c568a3
2024-09-10 15:43:43,452 Sent fuzzing message: ID=1019, Data=45020e351f1f09f1
2024-09-10 15:43:45,172 Sent fuzzing message: ID=1327, Data=85d54a845672b5b4
2024-09-10 15:43:46,205 Sent fuzzing message: ID=442, Data=e2b1491421ceeae4
2024-09-10 15:43:47,816 Sent fuzzing message: ID=1797, Data=7c29184e4d35c9db
2024-09-10 15:43:48,494 Sent fuzzing message: ID=1232, Data=4d7261e410886129
2024-09-10 15:43:50,463 Sent fuzzing message: ID=1917, Data=97b684df61413dd6
2024-09-10 15:43:52,054 Sent fuzzing message: ID=1854, Data=b0e9d2bbbfb7f094
2024-09-10 15:43:54,041 Sent fuzzing message: ID=580, Data=98ca5bfdb01b7bf5
2024-09-10 15:43:55,077 Sent fuzzing message: ID=1496, Data=73c1d7aed08f428a
2024-09-10 15:43:56,937 Sent fuzzing message: ID=767, Data=e1c93ccc7cfa69b1
2024-09-10 15:43:57,896 Sent fuzzing message: ID=359, Data=dadf818093739539
2024-09-10 15:43:58,953 Sent fuzzing message: ID=1464, Data=1ca2216a868db0a2
2024-09-10 15:43:59,721 Sent fuzzing message: ID=1150, Data=5f79fb77b4504227
2024-09-10 15:44:00,981 Sent fuzzing message: ID=308, Data=0d500cc555494807
2024-09-10 15:44:02,062 Sent fuzzing message: ID=1954, Data=3e6b3974eb3e2f9d
2024-09-10 15:44:03,881 Sent fuzzing message: ID=845, Data=412470b50eee4317
2024-09-10 15:44:05,801 Sent fuzzing message: ID=1211, Data=9a025bbdf8ce5853
2024-09-10 15:44:06,690 Sent fuzzing message: ID=71, Data=5880de81078b5826
2024-09-10 15:44:07,714 Sent fuzzing message: ID=1988, Data=315ff86311b86c0f
2024-09-10 15:44:08,549 Sent fuzzing message: ID=372, Data=e4d18458ccb26c4c
2024-09-10 15:44:09,455 Sent fuzzing message: ID=274, Data=6d5dba972a40edea
2024-09-10 15:44:11,104 Sent fuzzing message: ID=921, Data=1e194e291b3bfa13
2024-09-10 15:44:12,061 Sent fuzzing message: ID=627, Data=a04fb852a0c72d33
2024-09-10 15:44:13,398 Sent fuzzing message: ID=1360, Data=eb553e3afea300f3
2024-09-10 15:44:14,583 Sent fuzzing message: ID=480, Data=a0f9ceda34cbd907
2024-09-10 15:44:15,952 Sent fuzzing message: ID=468, Data=fd877ac309cd779a
