"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","","","CAN","16","ID: 1661 (0x67d), Length: 4"
"2","1.000654158","","","CAN","16","ID: 1406 (0x57e), Length: 4"
"3","2.001223520","","","CAN","16","ID: 1333 (0x535), Length: 4"
"4","3.001941454","","","CAN","16","ID: 1462 (0x5b6), Length: 4"
"5","4.002602889","","","CAN","16","ID: 823 (0x337), Length: 4"
"6","5.003004420","","","CAN","16","ID: 1555 (0x613), Length: 4"
"7","6.004200053","","","CAN","16","ID: 269 (0x10d), Length: 4"
"8","7.004077478","","","CAN","16","ID: 1916 (0x77c), Length: 4"
"9","8.004400305","","","CAN","16","ID: 640 (0x280), Length: 4"
"10","9.004821798","","","CAN","16","ID: 2046 (0x7fe), Length: 4"
