"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","","","CAN","16","ID: 1542 (0x606), Length: 4"
"2","1.000447259","","","CAN","16","ID: 1466 (0x5ba), Length: 4"
"3","2.001148027","","","CAN","16","ID: 928 (0x3a0), Length: 4"
"4","3.001510309","","","CAN","16","ID: 675 (0x2a3), Length: 4"
"5","4.001646344","","","CAN","16","ID: 2002 (0x7d2), Length: 4"
"6","5.002573329","","","CAN","16","ID: 1385 (0x569), Length: 4"
"7","6.002735777","","","CAN","16","ID: 758 (0x2f6), Length: 4"
"8","7.003102882","","","CAN","16","ID: 440 (0x1b8), Length: 4"
"9","8.003426573","","","CAN","16","ID: 801 (0x321), Length: 4"
"10","9.004071829","","","CAN","16","ID: 1345 (0x541), Length: 4"
