2024-08-01 16:11:21,968 Created a socket
2024-08-01 16:11:22,376 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:23,376 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:24,377 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:25,377 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:26,378 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:27,378 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:28,378 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:29,382 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:30,379 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:31,379 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:32,379 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:33,380 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:34,380 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:35,380 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:36,381 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
2024-08-01 16:11:37,381 Message received: ID=291, Data=bytearray(b'\xde\xad\xbe\xef')
