2024-07-25 13:34:57,838 Created a socket
2024-07-25 13:34:58,148 Message received: ID=1884, Data=bytearray(b'\x08')
2024-07-25 13:34:59,150 Message received: ID=1943, Data=bytearray(b'P\xe6\xf4t\xb2\xa7\x8c')
2024-07-25 13:35:00,150 Message received: ID=1663, Data=bytearray(b'=\xa1')
2024-07-25 13:35:01,152 Message received: ID=1672, Data=bytearray(b'')
2024-07-25 13:35:02,152 Message received: ID=1827, Data=bytearray(b'\x18\x97O\xb2')
2024-07-25 13:35:03,152 Message received: ID=1375, Data=bytearray(b'v')
2024-07-25 13:35:04,153 Message received: ID=1153, Data=bytearray(b'aY\x8e\xca#*\xc4')
2024-07-25 13:35:05,153 Message received: ID=774, Data=bytearray(b'\x85F')
2024-07-25 13:35:06,154 Message received: ID=1267, Data=bytearray(b'\x96\xa1')
2024-07-25 13:35:07,156 Message received: ID=925, Data=bytearray(b'\x08=\xc2\xf7\xb5\xc5\xcdR')
2024-07-25 13:35:08,156 Message received: ID=387, Data=bytearray(b'\xfa$\x80q\xb5')
2024-07-25 13:35:09,156 Message received: ID=511, Data=bytearray(b'\xda\xdf\xa5\xd9\xa5\x1f$')
2024-07-25 13:35:10,157 Message received: ID=1958, Data=bytearray(b'\xe3\xd8\x08\xca')
2024-07-25 13:35:11,157 Message received: ID=1931, Data=bytearray(b'y\x93\xcb\x1b;Y~(')
2024-07-25 13:35:12,157 Message received: ID=616, Data=bytearray(b'')
2024-07-25 13:35:13,159 Message received: ID=1791, Data=bytearray(b'F\xfd\x1c\xd5Z')
2024-07-25 13:35:14,159 Message received: ID=1370, Data=bytearray(b'\xa2`%')
2024-07-25 13:35:15,159 Message received: ID=2029, Data=bytearray(b'\xeb>\xed')
2024-07-25 13:35:16,160 Message received: ID=1900, Data=bytearray(b"\x90\xdb\xe1\'i\xfb")
2024-07-25 13:35:17,161 Message received: ID=1330, Data=bytearray(b'\x03')
2024-07-25 13:35:18,162 Message received: ID=1193, Data=bytearray(b'0Z\x8f\x82\x8eg')
2024-07-25 13:35:19,163 Message received: ID=1655, Data=bytearray(b'?\xc4\x91\xec\x15\xe7<')
2024-07-25 13:35:20,162 Message received: ID=1409, Data=bytearray(b'')
2024-07-25 13:35:21,164 Message received: ID=1101, Data=bytearray(b'\xf7V\xa5\x85\x1a\xabq\xa2')
2024-07-25 13:35:22,165 Message received: ID=441, Data=bytearray(b'h\xa0\xd8\xe6\x1e\t\xe9')
2024-07-25 13:35:23,174 Message received: ID=697, Data=bytearray(b'\x17~U2\x00')
2024-07-25 13:35:24,166 Message received: ID=575, Data=bytearray(b'X')
2024-07-25 13:35:25,166 Message received: ID=296, Data=bytearray(b'\xab%Z\xef')
