2024-07-25 13:21:57,211 Created a socket
2024-07-25 13:21:57,212 Message sent: ID=256, Data=bytearray(b'\xd3\xa2\xd9\xda')
2024-07-25 13:21:58,213 Message sent: ID=256, Data=bytearray(b"r)/\x01\'\x9aj\xaf")
2024-07-25 13:21:59,213 Message sent: ID=256, Data=bytearray(b'D\xd6\xfc\n\xbd<')
2024-07-25 13:22:00,214 Message sent: ID=256, Data=bytearray(b'p\x9d\xb0\xfe|\x86')
2024-07-25 13:22:01,216 Message sent: ID=256, Data=bytearray(b'@R)\x87\xce')
2024-07-25 13:22:02,217 Message sent: ID=256, Data=bytearray(b's}\xfe')
2024-07-25 13:22:03,218 Message sent: ID=256, Data=bytearray(b'\xfb')
2024-07-25 13:22:04,219 Message sent: ID=256, Data=bytearray(b'9\xa3')
2024-07-25 13:22:05,219 Message sent: ID=256, Data=bytearray(b'\xec')
2024-07-25 13:22:06,220 Message sent: ID=256, Data=bytearray(b'\x8b\xf9\x88')
2024-07-25 13:22:07,221 Message sent: ID=256, Data=bytearray(b'r\xd4\x00')
2024-07-25 13:22:08,223 Message sent: ID=256, Data=bytearray(b'V\x91\xbc*\x03?\x1a\\')
2024-07-25 13:22:09,223 Message sent: ID=256, Data=bytearray(b'\x86\xdd\xdc\xafg\x08')
2024-07-25 13:22:10,224 Message sent: ID=256, Data=bytearray(b'W.\x1f\xab')
2024-07-25 13:22:11,226 Message sent: ID=256, Data=bytearray(b'\xd8\xa3\xbd\xfaG\x0f\xdbP')
2024-07-25 13:22:12,228 Message sent: ID=256, Data=bytearray(b'\xd5>\xd0')
2024-07-25 13:22:13,229 Message sent: ID=256, Data=bytearray(b'O\xe9')
2024-07-25 13:22:14,229 Message sent: ID=256, Data=bytearray(b'')
2024-07-25 13:22:15,230 Message sent: ID=256, Data=bytearray(b'\xbdz')
2024-07-25 13:22:16,231 Message sent: ID=256, Data=bytearray(b'K\xc7')
2024-07-25 13:22:17,232 Message sent: ID=256, Data=bytearray(b'\x8a\x82')
2024-07-25 13:22:18,233 Message sent: ID=256, Data=bytearray(b'\xea\xd2d')
2024-07-25 13:22:19,233 Message sent: ID=256, Data=bytearray(b'}Q\xf3y\xe18<')
2024-07-25 13:22:20,234 Message sent: ID=256, Data=bytearray(b'\xdf_\xbc\x8f25y\x83')
2024-07-25 13:22:21,234 Message sent: ID=256, Data=bytearray(b'\xc37\x8d')
2024-07-25 13:22:22,235 Message sent: ID=256, Data=bytearray(b'M\x0e')
2024-07-25 13:22:23,235 Message sent: ID=256, Data=bytearray(b'\xcc\x03\n\x04\xe0Q\xaf')
2024-07-25 13:22:24,236 Message sent: ID=256, Data=bytearray(b'7c\x03\xf2#')
2024-07-25 13:22:25,237 Message sent: ID=256, Data=bytearray(b'\xa2\xb2\xaf')
2024-07-25 13:22:26,237 Message sent: ID=256, Data=bytearray(b'D`')
2024-07-25 13:22:27,239 Message sent: ID=256, Data=bytearray(b'\xfc\xae\x1d\xfb\xccF')
2024-07-25 13:22:28,239 Message sent: ID=256, Data=bytearray(b'\xf11')
2024-07-25 13:22:29,240 Message sent: ID=256, Data=bytearray(b'\xff-9(\xcewc\xf7')
2024-07-25 13:22:30,241 Message sent: ID=256, Data=bytearray(b'\x17')
2024-07-25 13:22:31,241 Message sent: ID=256, Data=bytearray(b'x\xe7')
2024-07-25 13:22:32,242 Message sent: ID=256, Data=bytearray(b'')
2024-07-25 13:22:33,242 Message sent: ID=256, Data=bytearray(b'')
2024-07-25 13:22:34,243 Message sent: ID=256, Data=bytearray(b'dK|')
2024-07-25 13:22:35,244 Message sent: ID=256, Data=bytearray(b'\xefB')
2024-07-25 13:22:36,246 Message sent: ID=256, Data=bytearray(b'\xf7\x0f\x06\xf2')
2024-07-25 13:22:37,248 Message sent: ID=256, Data=bytearray(b'\x8e \xc6\x9c3\x84')
