2024-07-25 13:22:01,206 Created a socket
2024-07-25 13:22:01,225 Message received: ID=256, Data=bytearray(b'@R)\x87\xce')
2024-07-25 13:22:02,227 Message received: ID=256, Data=bytearray(b's}\xfe')
2024-07-25 13:22:03,227 Message received: ID=256, Data=bytearray(b'\xfb')
2024-07-25 13:22:04,228 Message received: ID=256, Data=bytearray(b'9\xa3')
2024-07-25 13:22:05,228 Message received: ID=256, Data=bytearray(b'\xec')
2024-07-25 13:22:06,229 Message received: ID=256, Data=bytearray(b'\x8b\xf9\x88')
2024-07-25 13:22:07,230 Message received: ID=256, Data=bytearray(b'r\xd4\x00')
2024-07-25 13:22:08,233 Message received: ID=256, Data=bytearray(b'V\x91\xbc*\x03?\x1a\\')
2024-07-25 13:22:09,233 Message received: ID=256, Data=bytearray(b'\x86\xdd\xdc\xafg\x08')
2024-07-25 13:22:10,234 Message received: ID=256, Data=bytearray(b'W.\x1f\xab')
2024-07-25 13:22:11,236 Message received: ID=256, Data=bytearray(b'\xd8\xa3\xbd\xfaG\x0f\xdbP')
2024-07-25 13:22:12,238 Message received: ID=256, Data=bytearray(b'\xd5>\xd0')
2024-07-25 13:22:13,238 Message received: ID=256, Data=bytearray(b'O\xe9')
2024-07-25 13:22:14,238 Message received: ID=256, Data=bytearray(b'')
2024-07-25 13:22:15,239 Message received: ID=256, Data=bytearray(b'\xbdz')
2024-07-25 13:22:16,240 Message received: ID=256, Data=bytearray(b'K\xc7')
2024-07-25 13:22:17,241 Message received: ID=256, Data=bytearray(b'\x8a\x82')
2024-07-25 13:22:18,242 Message received: ID=256, Data=bytearray(b'\xea\xd2d')
2024-07-25 13:22:19,243 Message received: ID=256, Data=bytearray(b'}Q\xf3y\xe18<')
2024-07-25 13:22:20,244 Message received: ID=256, Data=bytearray(b'\xdf_\xbc\x8f25y\x83')
2024-07-25 13:22:21,244 Message received: ID=256, Data=bytearray(b'\xc37\x8d')
2024-07-25 13:22:22,244 Message received: ID=256, Data=bytearray(b'M\x0e')
2024-07-25 13:22:23,245 Message received: ID=256, Data=bytearray(b'\xcc\x03\n\x04\xe0Q\xaf')
2024-07-25 13:22:24,246 Message received: ID=256, Data=bytearray(b'7c\x03\xf2#')
2024-07-25 13:22:25,246 Message received: ID=256, Data=bytearray(b'\xa2\xb2\xaf')
2024-07-25 13:22:26,246 Message received: ID=256, Data=bytearray(b'D`')
2024-07-25 13:22:27,248 Message received: ID=256, Data=bytearray(b'\xfc\xae\x1d\xfb\xccF')
2024-07-25 13:22:28,248 Message received: ID=256, Data=bytearray(b'\xf11')
2024-07-25 13:22:29,250 Message received: ID=256, Data=bytearray(b'\xff-9(\xcewc\xf7')
2024-07-25 13:22:30,250 Message received: ID=256, Data=bytearray(b'\x17')
2024-07-25 13:22:31,251 Message received: ID=256, Data=bytearray(b'x\xe7')
2024-07-25 13:22:32,251 Message received: ID=256, Data=bytearray(b'')
2024-07-25 13:22:33,252 Message received: ID=256, Data=bytearray(b'')
2024-07-25 13:22:34,252 Message received: ID=256, Data=bytearray(b'dK|')
2024-07-25 13:22:35,254 Message received: ID=256, Data=bytearray(b'\xefB')
2024-07-25 13:22:36,256 Message received: ID=256, Data=bytearray(b'\xf7\x0f\x06\xf2')
2024-07-25 13:22:37,257 Message received: ID=256, Data=bytearray(b'\x8e \xc6\x9c3\x84')
