2024-07-23 14:54:21,875 Created a socket
2024-07-23 14:54:22,008 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:23,008 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:24,008 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:25,009 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:26,010 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:27,010 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:28,011 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:29,014 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:30,015 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:31,017 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:32,015 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:33,016 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:34,017 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:35,017 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:36,019 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:37,020 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:38,021 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:39,022 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:40,023 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:41,023 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:42,025 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:43,025 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:44,026 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:45,027 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:46,027 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:47,028 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:48,029 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:49,030 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:50,032 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:51,031 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:52,032 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:53,033 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:54,034 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:55,034 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:56,035 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:57,037 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:58,037 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:59,037 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:00,038 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:01,038 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:02,039 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:03,040 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:04,046 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:05,041 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:06,042 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:07,046 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:08,047 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:09,048 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:10,049 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:11,049 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:12,052 Message received: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:55:13,053 Message received: ID=256, Data=bytearray(b'Hello123')
