2024-08-01 12:47:32,928 Created a socket
2024-08-01 12:47:34,642 Message received: ID=997, Data=bytearray(b'(\xc8aX\x8c\x00+\xd8')
2024-08-01 12:47:34,743 Message received: ID=760, Data=bytearray(b'\x12\xe5\xdc\xbf')
2024-08-01 12:47:34,843 Message received: ID=1259, Data=bytearray(b'')
2024-08-01 12:47:34,944 Message received: ID=930, Data=bytearray(b'\x9a')
2024-08-01 12:47:35,045 Message received: ID=409, Data=bytearray(b'\xb7\x01\x01\xaf?\xfd')
2024-08-01 12:47:35,147 Message received: ID=498, Data=bytearray(b'E\xd8x')
2024-08-01 12:47:35,248 Message received: ID=1677, Data=bytearray(b'$p\r\x0by\xa3<')
2024-08-01 12:47:35,349 Message received: ID=39, Data=bytearray(b'@')
2024-08-01 12:47:35,450 Message received: ID=15, Data=bytearray(b'\xdb\xdb\xba\xe9CC\x83\xa5')
2024-08-01 12:47:35,551 Message received: ID=970, Data=bytearray(b'\xef\xb0\xc3\x199\xd3\xaa')
2024-08-01 12:47:35,652 Message received: ID=383, Data=bytearray(b'v[\xa9L\x88\xcd')
2024-08-01 12:47:35,753 Message received: ID=1999, Data=bytearray(b'\x83\x07\xb0\x04Y')
2024-08-01 12:47:35,854 Message received: ID=1350, Data=bytearray(b'\xbe\xb5\xe4\xaf')
2024-08-01 12:47:35,958 Message received: ID=1899, Data=bytearray(b'\xec0\xab\xb0\x9c\n}\xf0')
2024-08-01 12:47:36,060 Message received: ID=484, Data=bytearray(b'\xe1\x99\xb5\x1d\x0e\xfa')
2024-08-01 12:47:36,162 Message received: ID=1062, Data=bytearray(b'\x9a')
2024-08-01 12:47:36,263 Message received: ID=580, Data=bytearray(b'u')
2024-08-01 12:47:36,364 Message received: ID=1716, Data=bytearray(b'\xb8\x9e\xa7W\xafU')
2024-08-01 12:47:36,465 Message received: ID=251, Data=bytearray(b'T\xeb\x1b\xd0k4')
2024-08-01 12:47:36,565 Message received: ID=1041, Data=bytearray(b'')
2024-08-01 12:47:36,665 Message received: ID=2032, Data=bytearray(b'\xa9\x12\xcf')
2024-08-01 12:47:36,766 Message received: ID=497, Data=bytearray(b'')
2024-08-01 12:47:36,867 Message received: ID=21, Data=bytearray(b'\xa4\x7f\x03\x94a\xb3')
2024-08-01 12:47:36,968 Message received: ID=223, Data=bytearray(b'\xb0\x00\xf6V\xbd\xd1{')
2024-08-01 12:47:37,068 Message received: ID=1362, Data=bytearray(b'\x06G')
2024-08-01 12:47:37,169 Message received: ID=1055, Data=bytearray(b'')
2024-08-01 12:47:37,270 Message received: ID=1923, Data=bytearray(b'M,\r\xa8\x17')
2024-08-01 12:47:37,371 Message received: ID=1811, Data=bytearray(b'\xb8\xa84\xc4U')
2024-08-01 12:47:37,471 Message received: ID=1654, Data=bytearray(b'')
2024-08-01 12:47:37,572 Message received: ID=421, Data=bytearray(b's\x86D\xb9')
2024-08-01 12:47:37,673 Message received: ID=328, Data=bytearray(b'\x88\n-A5\xca\xba')
2024-08-01 12:47:37,773 Message received: ID=948, Data=bytearray(b'CE')
2024-08-01 12:47:37,873 Message received: ID=340, Data=bytearray(b'\x95"\xd2')
2024-08-01 12:47:37,974 Message received: ID=1626, Data=bytearray(b'\xda\xd8_\xf3\x19\x00')
2024-08-01 12:47:38,075 Message received: ID=735, Data=bytearray(b'@\x17\x7f\xd2[\xf7')
2024-08-01 12:47:38,175 Message received: ID=560, Data=bytearray(b'zt')
2024-08-01 12:47:38,275 Message received: ID=442, Data=bytearray(b'\xe8`')
2024-08-01 12:47:38,376 Message received: ID=50, Data=bytearray(b'\xf9\xb8')
2024-08-01 12:47:38,476 Message received: ID=116, Data=bytearray(b'R|')
2024-08-01 12:47:38,577 Message received: ID=988, Data=bytearray(b'\xcd')
2024-08-01 12:47:38,678 Message received: ID=922, Data=bytearray(b'H\xa4\xf2^\xdb')
2024-08-01 12:47:38,778 Message received: ID=537, Data=bytearray(b'g;\x01/\x05\xcf')
2024-08-01 12:47:38,878 Message received: ID=9, Data=bytearray(b'')
2024-08-01 12:47:38,979 Message received: ID=1910, Data=bytearray(b"\'\xf9F\xe7\xe2\x8a\xf3")
2024-08-01 12:47:39,079 Message received: ID=790, Data=bytearray(b'')
2024-08-01 12:47:39,179 Message received: ID=1134, Data=bytearray(b'')
2024-08-01 12:47:39,280 Message received: ID=1490, Data=bytearray(b'')
2024-08-01 12:47:39,381 Message received: ID=1626, Data=bytearray(b'\x8f')
2024-08-01 12:47:39,482 Message received: ID=1756, Data=bytearray(b'v\x1f\x1e\x95R\xa8R')
2024-08-01 12:47:39,582 Message received: ID=121, Data=bytearray(b'tq\x94')
2024-08-01 12:47:39,683 Message received: ID=1347, Data=bytearray(b'A\xe9\xc9\xc5\xa4Q')
2024-08-01 12:47:39,787 Message received: ID=229, Data=bytearray(b'\xb3')
2024-08-01 12:47:39,887 Message received: ID=638, Data=bytearray(b'\x8es\x12\x0e\xf9\xc9\xdc')
2024-08-01 12:47:39,987 Message received: ID=1894, Data=bytearray(b'\xb7')
2024-08-01 12:47:40,088 Message received: ID=1453, Data=bytearray(b'}t')
2024-08-01 12:47:40,188 Message received: ID=812, Data=bytearray(b'')
2024-08-01 12:47:40,289 Message received: ID=1682, Data=bytearray(b'\xa7\xf8\x1f')
2024-08-01 12:47:40,390 Message received: ID=772, Data=bytearray(b'\xae=\xe1\xa1\x0e')
2024-08-01 12:47:40,490 Message received: ID=1602, Data=bytearray(b'\xb4c\xa1#')
2024-08-01 12:47:40,591 Message received: ID=917, Data=bytearray(b'0\xb6')
2024-08-01 12:47:40,693 Message received: ID=600, Data=bytearray(b'\x1ad,|\x96\xe2')
2024-08-01 12:47:40,792 Message received: ID=1485, Data=bytearray(b'\xbd\xd0')
2024-08-01 12:47:40,895 Message received: ID=688, Data=bytearray(b'Pg\xcb\xb9')
2024-08-01 12:47:40,996 Message received: ID=1864, Data=bytearray(b'')
2024-08-01 12:47:41,097 Message received: ID=1114, Data=bytearray(b'')
2024-08-01 12:47:41,199 Message received: ID=998, Data=bytearray(b'\xec\xb5\x89')
2024-08-01 12:47:41,299 Message received: ID=831, Data=bytearray(b':\xe6a\x91\xb7')
2024-08-01 12:47:41,399 Message received: ID=1483, Data=bytearray(b'\x17\xbf')
