2024-07-23 15:15:37,743 Created a socket
2024-07-23 15:16:15,875 Created a socket
2024-07-23 15:16:17,562 Created a socket
2024-07-23 15:16:19,230 Created a socket
2024-07-23 15:19:36,343 Created a socket
2024-07-23 15:19:36,344 Message sent: ID=1509, Data=bytearray(b'\x19\\\xf0\xf9[d')
2024-07-23 15:19:36,445 Message sent: ID=116, Data=bytearray(b'\xc038\xae\xbdA&\xa4')
2024-07-23 15:19:36,546 Message sent: ID=95, Data=bytearray(b'\xb2|\x8a\x13\xf6')
2024-07-23 15:19:36,648 Message sent: ID=1980, Data=bytearray(b'\x16')
2024-07-23 15:19:36,750 Message sent: ID=1385, Data=bytearray(b'&\x7f\xa4\xd0\xebd')
2024-07-23 15:19:36,853 Message sent: ID=1830, Data=bytearray(b'$\xc4\xcc')
2024-07-23 15:19:36,954 Message sent: ID=169, Data=bytearray(b'Q')
2024-07-23 15:19:37,055 Message sent: ID=2022, Data=bytearray(b'gz\xb9\x1e')
2024-07-23 15:19:37,156 Message sent: ID=828, Data=bytearray(b'\x9f\t\x0e\xd2')
2024-07-23 15:19:37,257 Message sent: ID=479, Data=bytearray(b'\xb9\x81#')
2024-07-23 15:19:37,359 Message sent: ID=1362, Data=bytearray(b'\xab\x96SS\xd7\xb7')
2024-07-23 15:19:37,461 Message sent: ID=369, Data=bytearray(b'')
2024-07-23 15:19:37,563 Message sent: ID=2026, Data=bytearray(b'\xc4\x9e\xb9U\x06\xa9')
2024-07-23 15:19:37,665 Message sent: ID=1679, Data=bytearray(b'\xb2\xdf')
2024-07-23 15:19:37,768 Message sent: ID=2007, Data=bytearray(b'\xcb\x9af|\xfa\xa6\xf5')
2024-07-23 15:19:37,869 Message sent: ID=432, Data=bytearray(b'')
2024-07-23 15:19:37,970 Message sent: ID=1479, Data=bytearray(b'\xcf\xf3X\x17P#\x9a')
2024-07-23 15:19:38,075 Message sent: ID=865, Data=bytearray(b'\xfc\xa2-')
2024-07-23 15:19:38,179 Message sent: ID=286, Data=bytearray(b'\xd9!\xeaM\xa9')
2024-07-23 15:19:38,286 Message sent: ID=350, Data=bytearray(b'?7\xcf>\xd9')
2024-07-23 15:19:38,388 Message sent: ID=1159, Data=bytearray(b'\xf8\xb2m')
2024-07-23 15:19:38,490 Message sent: ID=111, Data=bytearray(b'\x03')
2024-07-23 15:19:38,594 Message sent: ID=1663, Data=bytearray(b'\x1e\xaf\xef\x17p\x0f')
2024-07-23 15:19:38,695 Message sent: ID=912, Data=bytearray(b'\x94\xd4')
2024-07-23 15:19:38,799 Message sent: ID=251, Data=bytearray(b'mD\xa0\xcc&')
2024-07-23 15:19:38,901 Message sent: ID=1364, Data=bytearray(b'p\x9f')
2024-07-23 15:19:39,002 Message sent: ID=1327, Data=bytearray(b'\xd1\xbf!\xe0j')
2024-07-23 15:19:39,103 Message sent: ID=1949, Data=bytearray(b'\xac{\x96;\xa82')
2024-07-23 15:19:39,204 Message sent: ID=2018, Data=bytearray(b'\xf5=\x97\xdd\x9c')
2024-07-23 15:19:39,304 Message sent: ID=1222, Data=bytearray(b'\x87`\x95#B')
2024-07-23 15:19:39,407 Message sent: ID=1273, Data=bytearray(b'\xfe\x93')
2024-07-23 15:19:39,508 Message sent: ID=605, Data=bytearray(b'\xa8V7\xfa')
2024-07-23 15:19:39,609 Message sent: ID=1792, Data=bytearray(b'\xcf\xd1\x84\xc96\x95')
2024-07-23 15:19:39,712 Message sent: ID=1113, Data=bytearray(b'\n\xfa\xf9\xe1')
2024-07-23 15:19:39,813 Message sent: ID=596, Data=bytearray(b'\xffR\x82a\xda"')
2024-07-23 15:19:39,914 Message sent: ID=769, Data=bytearray(b'\xea\xc3[')
2024-07-23 15:19:40,014 Message sent: ID=1828, Data=bytearray(b"\x97F\'\x85\xae\xe8\xa1\xa5")
2024-07-23 15:19:40,115 Message sent: ID=1448, Data=bytearray(b'')
2024-07-23 15:19:40,216 Message sent: ID=147, Data=bytearray(b'$\x8f\x07$I')
2024-07-23 15:19:40,316 Message sent: ID=153, Data=bytearray(b'\x15G')
2024-07-23 15:19:40,417 Message sent: ID=1914, Data=bytearray(b'')
2024-07-23 15:19:40,518 Message sent: ID=1797, Data=bytearray(b'X\xb8V\xd6O')
2024-07-23 15:19:40,618 Message sent: ID=489, Data=bytearray(b'\xbe\xc2Z')
2024-07-23 15:19:40,719 Message sent: ID=943, Data=bytearray(b'\xf7\x08')
2024-07-23 15:19:40,819 Message sent: ID=1615, Data=bytearray(b'7')
2024-07-23 15:19:40,921 Message sent: ID=1069, Data=bytearray(b'f\xec\xc8q\x7f\xa0')
2024-07-23 15:19:41,024 Message sent: ID=1985, Data=bytearray(b'\xe9\xf9\x18\xbd\x13')
2024-07-23 15:19:41,125 Message sent: ID=1897, Data=bytearray(b'\xb7')
2024-07-23 15:19:41,227 Message sent: ID=246, Data=bytearray(b'/\xe3L')
2024-07-23 15:19:41,328 Message sent: ID=1416, Data=bytearray(b'\xb2\\\xee\xf3')
2024-07-23 15:19:41,429 Message sent: ID=1912, Data=bytearray(b'\x8b\xfbJ\xe3.')
2024-07-23 15:19:41,534 Message sent: ID=1473, Data=bytearray(b'\xe1')
2024-07-23 15:19:41,637 Message sent: ID=1629, Data=bytearray(b'q\xf9\xa7\x1dj\xde\xc8\xa3')
2024-07-23 15:19:41,740 Message sent: ID=592, Data=bytearray(b'\xe3\xa4')
2024-07-23 15:19:41,846 Message sent: ID=1708, Data=bytearray(b'\xb4\x1b(.')
2024-07-23 15:19:41,947 Message sent: ID=1350, Data=bytearray(b'\xdc\xc7"!!')
2024-07-23 15:19:42,049 Message sent: ID=385, Data=bytearray(b'\xc8\x95\x9c')
2024-07-23 15:19:42,151 Message sent: ID=1220, Data=bytearray(b'/\xc6?i\xcfB\x14')
2024-07-23 15:19:42,252 Message sent: ID=1810, Data=bytearray(b'@')
2024-07-23 15:19:42,353 Message sent: ID=664, Data=bytearray(b'\xff\xca\xae\xd2')
2024-07-23 15:19:42,455 Message sent: ID=1368, Data=bytearray(b'\xf4GT\xdaPs')
2024-07-23 15:19:42,556 Message sent: ID=152, Data=bytearray(b'\xf3\xa8\x127\x9f')
2024-07-23 15:19:42,658 Message sent: ID=9, Data=bytearray(b'\xe5\xb6R4.\x10')
2024-07-23 15:19:42,759 Message sent: ID=1847, Data=bytearray(b'D\xbe')
2024-07-23 15:19:42,862 Message sent: ID=843, Data=bytearray(b'\xb1Y\xa8\xfc\xfc<4\x0c')
2024-07-23 15:19:42,966 Message sent: ID=990, Data=bytearray(b'\xfe\x11\xcf\xba\xb8\xb0\xbd\xe6')
2024-07-23 15:19:43,067 Message sent: ID=1719, Data=bytearray(b'\x82*\xe9\xe8')
2024-07-23 15:19:43,169 Message sent: ID=1250, Data=bytearray(b'\x81C\xe8\xca\xd5S\xe1\xf3')
2024-07-23 15:19:43,271 Message sent: ID=1790, Data=bytearray(b"\x98\'\x01hG\x1c\x1d")
2024-07-23 15:19:43,373 Message sent: ID=60, Data=bytearray(b'')
2024-07-23 15:19:43,476 Message sent: ID=19, Data=bytearray(b'\x02\x1fkh ')
2024-07-23 15:19:43,577 Message sent: ID=345, Data=bytearray(b'\x06\x93')
2024-07-23 15:19:43,678 Message sent: ID=1980, Data=bytearray(b'\xdd\x98\n\x81')
2024-07-23 15:19:43,779 Message sent: ID=1544, Data=bytearray(b'\xd8^\xd1')
2024-07-23 15:19:43,880 Message sent: ID=1201, Data=bytearray(b'4\xbd\x08\xfe\xfd')
2024-07-23 15:19:43,981 Message sent: ID=1196, Data=bytearray(b"\x97\xa0\'")
2024-07-23 15:19:44,082 Message sent: ID=492, Data=bytearray(b'\xd1\xfa\xfa\xc7\xb7\x8b')
2024-07-23 15:19:44,184 Message sent: ID=1522, Data=bytearray(b'')
2024-07-23 15:19:44,285 Message sent: ID=33, Data=bytearray(b'')
2024-07-23 15:19:44,386 Message sent: ID=720, Data=bytearray(b'\xda\x02\x12\xfan\xdaSA')
2024-07-23 15:19:44,487 Message sent: ID=894, Data=bytearray(b"\xb5\x96j\x12\xc4\'\xf5\xdd")
2024-07-23 15:19:44,588 Message sent: ID=1754, Data=bytearray(b'\xdfL8L')
2024-07-23 15:19:44,689 Message sent: ID=1288, Data=bytearray(b'j')
2024-07-23 15:19:44,791 Message sent: ID=1686, Data=bytearray(b'z<\xb9')
2024-07-23 15:19:44,893 Message sent: ID=1322, Data=bytearray(b'\x0cl')
2024-07-23 15:19:44,995 Message sent: ID=1622, Data=bytearray(b'/5=')
2024-07-23 15:19:45,097 Message sent: ID=1159, Data=bytearray(b'\xa5\x92\xd8')
2024-07-23 15:19:45,199 Message sent: ID=1899, Data=bytearray(b'\xd1"\xf3`\xd96')
2024-07-23 15:19:45,299 Message sent: ID=731, Data=bytearray(b'f\xf2\xac')
2024-07-23 15:19:45,401 Message sent: ID=1297, Data=bytearray(b'\x05\xbaP\x87S')
2024-07-23 15:19:45,504 Message sent: ID=1613, Data=bytearray(b'')
2024-07-23 15:19:45,606 Message sent: ID=1767, Data=bytearray(b'm\xf5\x05\xdd\xe0')
2024-07-23 15:19:45,709 Message sent: ID=332, Data=bytearray(b'\\<\xf0zu0Y')
2024-07-23 15:19:45,814 Message sent: ID=289, Data=bytearray(b'\xcf{W\x88')
2024-07-23 15:19:45,915 Message sent: ID=254, Data=bytearray(b'\x89\xa24')
2024-07-23 15:19:46,016 Message sent: ID=1172, Data=bytearray(b'\xb5\x0c')
2024-07-23 15:19:46,118 Message sent: ID=1166, Data=bytearray(b'\x01\x11\x8d\xeeU')
2024-07-23 15:19:46,219 Message sent: ID=672, Data=bytearray(b'\xd6J\x84a\x8dW')
2024-07-23 15:19:46,321 Message sent: ID=1130, Data=bytearray(b'')
2024-07-23 15:19:46,426 Message sent: ID=575, Data=bytearray(b'')
2024-07-23 15:19:46,527 Message sent: ID=860, Data=bytearray(b'<G.\xc11B\xa3')
2024-07-23 15:19:46,630 Message sent: ID=1259, Data=bytearray(b'.\xf4\xdeA\xfeS')
2024-07-23 15:19:46,732 Message sent: ID=1685, Data=bytearray(b'\x95\x98f\xbfR')
2024-07-23 15:19:46,834 Message sent: ID=973, Data=bytearray(b'W;')
2024-07-23 15:19:46,936 Message sent: ID=844, Data=bytearray(b'<\xe6_\xa1\x87i\xef')
2024-07-23 15:19:47,037 Message sent: ID=991, Data=bytearray(b'\xd9e\xed\xea5zq\x97')
2024-07-23 15:19:47,138 Message sent: ID=671, Data=bytearray(b'\xc0\xdf#b')
2024-07-23 15:19:47,239 Message sent: ID=1606, Data=bytearray(b'\xc7\xddN\x00\xa4c[')
2024-07-23 15:19:47,345 Message sent: ID=854, Data=bytearray(b'\r\xd0')
2024-07-23 15:19:47,446 Message sent: ID=704, Data=bytearray(b'\xba\xec\x1d\x88')
2024-07-23 15:19:47,548 Message sent: ID=1040, Data=bytearray(b'5\xc1\xf5\xa7z\xbe\x02\xa0')
2024-07-23 15:19:47,650 Message sent: ID=58, Data=bytearray(b'\xdb\xdd3I\x19\xc4\x04\x86')
2024-07-23 15:19:47,751 Message sent: ID=1894, Data=bytearray(b'T-\x1d8\xf7')
2024-07-23 15:19:47,852 Message sent: ID=1202, Data=bytearray(b'\xbb\xda')
2024-07-23 15:19:47,953 Message sent: ID=1813, Data=bytearray(b'\x81\xfc\x02\xee')
2024-07-23 15:19:48,055 Message sent: ID=930, Data=bytearray(b'\xd1\x9d\t%\xf2')
2024-07-23 15:19:48,157 Message sent: ID=1318, Data=bytearray(b'\xb7')
2024-07-23 15:19:48,259 Message sent: ID=408, Data=bytearray(b'\x9bh\xc8\xd8+A)a')
