2024-07-23 15:36:31,582 Created a socket
2024-07-23 15:36:31,585 Message sent: ID=480, Data=bytearray(b'\xbd')
2024-07-23 15:36:31,688 Message sent: ID=298, Data=bytearray(b"CH\xf1\'C\x05\x05")
2024-07-23 15:36:31,791 Message sent: ID=236, Data=bytearray(b'')
2024-07-23 15:36:31,895 Message sent: ID=62, Data=bytearray(b'\x80\xf4X\xe1\xbf')
2024-07-23 15:36:31,999 Message sent: ID=1992, Data=bytearray(b'')
2024-07-23 15:36:32,100 Message sent: ID=1388, Data=bytearray(b'\xb7\xd5\x84\xae&')
2024-07-23 15:36:32,203 Message sent: ID=284, Data=bytearray(b'*\t\x11\x87#')
2024-07-23 15:36:32,305 Message sent: ID=518, Data=bytearray(b'\xb2\xff\xa7\xc4\xe1\x81')
2024-07-23 15:36:32,411 Message sent: ID=1417, Data=bytearray(b'\x8dF\xf1\x1e\xc4')
2024-07-23 15:36:32,513 Message sent: ID=876, Data=bytearray(b'\xe5\xfb\xde_\xcd\xbd')
2024-07-23 15:36:32,614 Message sent: ID=1851, Data=bytearray(b'')
2024-07-23 15:36:32,719 Message sent: ID=311, Data=bytearray(b'l\x85\x93')
2024-07-23 15:36:32,821 Message sent: ID=992, Data=bytearray(b'9\x18')
2024-07-23 15:36:32,926 Message sent: ID=559, Data=bytearray(b'\xe8\n\xee\xc3')
2024-07-23 15:36:33,030 Message sent: ID=122, Data=bytearray(b'\xb4\x8b\x9a\x13')
2024-07-23 15:36:33,131 Message sent: ID=244, Data=bytearray(b'\xa4\xca\xd9')
2024-07-23 15:36:33,233 Message sent: ID=1834, Data=bytearray(b'\x1b')
2024-07-23 15:36:33,334 Message sent: ID=1206, Data=bytearray(b'Z\x92\x82\x83\x1c\x92')
2024-07-23 15:36:33,437 Message sent: ID=1183, Data=bytearray(b'\x84GT\xce')
2024-07-23 15:36:33,541 Message sent: ID=1098, Data=bytearray(b'\xad\x88\x9a(\x19\x9f')
2024-07-23 15:36:33,644 Message sent: ID=2002, Data=bytearray(b'')
2024-07-23 15:36:33,746 Message sent: ID=872, Data=bytearray(b'6T\x00\x07\x90\x1f')
2024-07-23 15:36:33,849 Message sent: ID=314, Data=bytearray(b'\xf8 \xf3\xb9\xc2\x0e\xe9')
2024-07-23 15:36:33,951 Message sent: ID=1016, Data=bytearray(b'\x1b\xd3_\xc9')
2024-07-23 15:36:34,053 Message sent: ID=780, Data=bytearray(b'\x05\xe3\x04\xce')
2024-07-23 15:36:34,154 Message sent: ID=376, Data=bytearray(b'\xf1')
2024-07-23 15:36:34,257 Message sent: ID=868, Data=bytearray(b'')
2024-07-23 15:36:34,366 Message sent: ID=253, Data=bytearray(b'hFu\xe0^W\xea')
2024-07-23 15:36:34,469 Message sent: ID=1034, Data=bytearray(b'Id\xb5')
2024-07-23 15:36:34,572 Message sent: ID=691, Data=bytearray(b'\xe5\x99\'\xa7\x95@"')
2024-07-23 15:36:34,674 Message sent: ID=202, Data=bytearray(b'5\xe0\xb15\x83\x9c\xa7')
2024-07-23 15:36:34,776 Message sent: ID=131, Data=bytearray(b'\xba\xad\xdc\x08_')
2024-07-23 15:36:34,878 Message sent: ID=1640, Data=bytearray(b'i\xcb.\xc8v%\xe7')
2024-07-23 15:36:34,981 Message sent: ID=1561, Data=bytearray(b'\xcf\xceJ\x7f\x8c')
2024-07-23 15:36:35,083 Message sent: ID=1767, Data=bytearray(b'\xc4\n\xb4\x9b\x8b')
2024-07-23 15:36:35,184 Message sent: ID=331, Data=bytearray(b'\x08\xc7\xa4\xd2\xcb')
2024-07-23 15:36:35,287 Message sent: ID=733, Data=bytearray(b'\xca\x00~\xb3A')
2024-07-23 15:36:35,392 Message sent: ID=1482, Data=bytearray(b'\x98')
2024-07-23 15:36:35,494 Message sent: ID=1927, Data=bytearray(b'\xcaV\x0ec\x7f0f')
2024-07-23 15:36:35,596 Message sent: ID=151, Data=bytearray(b'\xb2\x92T\xb6{\x01')
2024-07-23 15:36:35,698 Message sent: ID=259, Data=bytearray(b'P%\x95\xbc_\xaa')
2024-07-23 15:36:35,809 Message sent: ID=1066, Data=bytearray(b'[\x12\xde\xaa\xdaIl\x82')
2024-07-23 15:36:35,912 Message sent: ID=603, Data=bytearray(b'\x8e"\x8d\xd2<\xad\x1a')
2024-07-23 15:36:36,017 Message sent: ID=1306, Data=bytearray(b'hD\x1dA5kx')
2024-07-23 15:36:36,119 Message sent: ID=740, Data=bytearray(b'\x10\xa5\xf5\xab\x89\xd2')
2024-07-23 15:36:36,220 Message sent: ID=1916, Data=bytearray(b'\xdb\x9b')
2024-07-23 15:36:36,322 Message sent: ID=1435, Data=bytearray(b'\xc6:\x83\xe2')
2024-07-23 15:36:36,427 Message sent: ID=171, Data=bytearray(b'\xb8\xedi\xd7\x14\x10')
2024-07-23 15:36:36,531 Message sent: ID=1116, Data=bytearray(b'\xa7\x97\x8e\x11\x02\xbc\xd5\xf5')
2024-07-23 15:36:36,641 Message sent: ID=407, Data=bytearray(b'')
2024-07-23 15:36:36,743 Message sent: ID=1692, Data=bytearray(b'\xc2Q\xb6\xdeY')
2024-07-23 15:36:36,849 Message sent: ID=431, Data=bytearray(b'r$')
2024-07-23 15:36:36,950 Message sent: ID=1383, Data=bytearray(b'\xd7O\x80')
2024-07-23 15:36:37,053 Message sent: ID=662, Data=bytearray(b'\xe7\xc6\xe3\x8e1\xfcx')
2024-07-23 15:36:37,154 Message sent: ID=492, Data=bytearray(b'\xa31\xa9\x9a\xde\xc0\xfa ')
2024-07-23 15:36:37,256 Message sent: ID=360, Data=bytearray(b'd\xdf\xae')
2024-07-23 15:36:37,357 Message sent: ID=273, Data=bytearray(b'\xe0')
