2024-07-23 14:49:23,493 Created a socket
2024-07-23 14:49:23,494 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:50:09,162 Created a socket
2024-07-23 14:50:09,165 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:05,991 Created a socket
2024-07-23 14:54:05,995 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:06,995 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:07,996 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:08,997 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:09,998 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:10,998 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:11,999 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:12,999 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:14,000 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:15,001 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:16,001 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:17,002 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:18,003 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:19,003 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:20,004 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:21,004 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:22,005 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:23,006 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:24,006 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:25,007 Message sent: ID=256, Data=bytearray(b'Hello123')
2024-07-23 14:54:26,007 Message sent: ID=256, Data=bytearray(b'Hello123')
